,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2019-09-06,0.6220833333333333,8.252173913043478,17.716666666666665,25.629166666666663,18.416666666666668,52.541666666666664,26.27777777777778,714.35,0.0,70.16666666666667,1.9588235294117646,0.17720833333333333,26.24958333333333,3.3,89.875
2019-09-07,0.5329166666666666,6.4624999999999995,12.637500000000001,19.033333333333335,26.666666666666668,44.166666666666664,16.95,713.9749999999999,0.0,62.875,2.221052631578947,0.21079166666666668,26.613749999999996,3.4142857142857146,86.33333333333333
2019-09-08,0.5417391304347826,4.2,13.195652173913047,17.32608695652174,32.130434782608695,49.54545454545455,20.529411764705884,713.3217391304348,0.0,64.8695652173913,2.2600000000000002,0.22191666666666673,26.28478260869565,3.878947368421053,97.91304347826087
2019-09-09,0.5800000000000002,7.4375,16.075000000000003,23.420833333333334,26.541666666666668,51.083333333333336,16.533333333333335,713.25,0.0,65.0,2.3227272727272728,0.17508333333333329,25.82375,3.8714285714285714,96.91666666666667
2019-09-10,0.5308333333333334,8.129166666666668,14.600000000000003,22.620833333333326,20.291666666666668,47.166666666666664,17.38095238095238,713.6541666666668,0.0,65.75,2.0842105263157893,0.12666666666666668,25.823750000000004,3.622727272727273,83.45833333333333
2019-09-11,0.5141666666666665,8.016666666666666,12.1875,20.1125,24.166666666666668,44.041666666666664,17.363636363636363,713.9958333333334,0.0,64.125,2.0578947368421048,0.2130833333333333,26.023749999999996,4.85263157894737,83.20833333333333
2019-09-12,0.42458333333333337,7.075000000000002,14.72916666666667,21.71666666666667,19.5,38.916666666666664,17.071428571428573,713.9791666666666,0.0033333333333333335,67.70833333333333,2.190909090909091,0.18400000000000002,24.987916666666667,4.958333333333333,75.29166666666667
2019-09-13,0.4333333333333333,8.045833333333333,15.633333333333335,23.58333333333333,18.166666666666668,41.875,13.75,714.4833333333335,0.00125,67.0,2.4208333333333334,0.20399999999999996,25.00125,3.8684210526315788,73.08333333333333
2019-09-14,0.5241666666666667,6.875,16.045833333333338,22.795833333333338,24.541666666666668,49.25,18.11764705882353,714.65,0.0,62.375,3.1380952380952385,0.175875,25.254583333333333,3.075,90.45833333333333
2019-09-15,0.39125000000000004,2.9583333333333335,8.858333333333333,11.754166666666665,41.875,38.208333333333336,14.947368421052632,714.1666666666666,0.0,53.416666666666664,2.372727272727273,0.23870833333333333,25.998333333333335,2.6470588235294117,126.625
2019-09-16,0.39375000000000004,3.149999999999999,8.904166666666667,11.991666666666665,41.291666666666664,40.541666666666664,13.478260869565217,713.7874999999999,0.0,59.666666666666664,2.4625,0.220625,26.124166666666667,2.6176470588235294,120.08333333333333
2019-09-17,0.5358333333333335,5.937499999999999,14.741666666666672,20.59166666666667,37.375,46.375,16.772727272727273,713.2958333333332,0.0,56.416666666666664,2.3150000000000004,0.2123333333333333,27.315,1.7166666666666668,133.58333333333334
2019-09-18,0.5683333333333332,4.729166666666667,15.679166666666665,20.333333333333332,44.583333333333336,53.0,22.736842105263158,712.8958333333335,0.0,56.458333333333336,2.545,0.20962499999999998,28.101666666666663,2.354545454545455,157.08333333333334
2019-09-19,0.6491666666666668,6.147826086956523,18.3875,24.25833333333333,41.083333333333336,70.54166666666667,35.8,712.4916666666667,0.0,61.791666666666664,2.5818181818181825,0.17745833333333336,27.466666666666658,2.4529411764705884,135.41666666666666
2019-09-20,0.5369565217391304,9.669565217391304,12.77391304347826,22.347826086956516,16.91304347826087,54.31818181818182,23.263157894736842,712.7217391304347,0.0,68.8695652173913,2.276190476190476,0.09634782608695654,26.67173913043478,3.5782608695652165,78.21739130434783
2019-09-21,0.4625000000000001,7.75833333333333,10.670833333333336,18.370833333333337,20.583333333333332,41.166666666666664,17.166666666666668,713.4333333333334,0.0,64.75,2.219047619047619,0.15433333333333335,26.16291666666666,4.654545454545455,77.91666666666667
2019-09-22,0.51,4.578260869565217,12.112499999999999,16.529166666666672,23.541666666666668,40.125,19.210526315789473,713.6083333333335,0.0,67.0,2.2363636363636363,0.1879583333333333,26.107083333333325,3.1916666666666664,84.5
2019-09-23,0.6004166666666667,6.95,14.083333333333334,20.937500000000007,22.958333333333332,46.9,18.818181818181817,713.6833333333334,0.0,62.75,2.4090909090909087,0.19491666666666665,26.82541666666667,3.6842105263157894,93.33333333333333
2019-09-24,0.6241666666666665,8.113043478260867,15.399999999999999,23.195833333333336,25.791666666666668,49.77272727272727,20.833333333333332,712.9124999999999,0.0,64.54166666666667,2.5,0.19566666666666668,26.563750000000002,3.125,101.45833333333333
2019-09-25,0.71125,7.31304347826087,17.72916666666667,24.725000000000005,35.666666666666664,51.63636363636363,18.736842105263158,712.6208333333334,0.0,67.375,2.21,0.16937499999999997,26.658749999999994,1.7800000000000005,99.0
2019-09-26,0.7133333333333334,7.430434782608697,15.504166666666663,22.645833333333332,30.416666666666668,53.73684210526316,23.772727272727273,712.7166666666666,0.0,65.41666666666667,2.1277777777777778,0.16816666666666666,27.388333333333332,2.542857142857143,95.95833333333333
2019-09-27,0.6937500000000001,7.3208333333333355,16.991666666666667,24.204166666666666,23.791666666666668,49.291666666666664,25.705882352941178,712.125,0.0,66.20833333333333,2.21,0.18354166666666663,26.88291666666666,3.6111111111111103,89.58333333333333
2019-09-28,0.5700000000000001,6.670833333333335,11.987499999999999,18.570833333333333,20.041666666666668,42.666666666666664,24.0,712.1208333333334,0.0,66.5,2.145,0.11612499999999999,26.422500000000003,4.904166666666668,84.58333333333333
2019-09-29,0.45250000000000007,3.254166666666667,5.3374999999999995,8.554166666666669,19.458333333333332,30.05263157894737,8.19047619047619,712.7874999999999,0.0008333333333333334,68.95833333333333,1.9249999999999998,0.1985,25.95125,7.383333333333334,70.04166666666667
2019-09-30,0.47291666666666665,4.658333333333332,5.1916666666666655,9.8125,18.333333333333332,28.25,10.533333333333333,712.8499999999999,0.0,68.66666666666667,1.8363636363636362,0.18291666666666664,25.86833333333333,8.191666666666668,64.33333333333333
2019-10-01,0.531304347826087,5.726086956521738,6.747826086956521,12.391304347826088,17.08695652173913,30.954545454545453,15.133333333333333,712.8608695652174,0.0,67.1304347826087,1.8375000000000001,0.1370869565217391,26.123043478260872,6.478260869565218,69.78260869565217
2019-10-02,0.5908333333333334,8.158333333333333,9.958333333333334,18.025000000000002,17.458333333333332,33.56521739130435,10.714285714285714,713.0416666666666,0.0,68.20833333333333,1.98125,0.11108333333333331,25.258333333333336,4.621739130434783,79.95833333333333
2019-10-03,0.59375,7.637499999999999,12.308333333333335,19.854166666666668,19.333333333333332,33.833333333333336,19.1,713.5333333333333,0.0,66.625,2.169565217391304,0.14891666666666667,25.269166666666667,4.754166666666667,73.08333333333333
2019-10-04,0.6904166666666667,8.954166666666667,15.733333333333336,24.591666666666665,22.791666666666668,39.391304347826086,11.777777777777779,714.0833333333334,0.0,63.625,2.505,0.15458333333333335,24.884583333333328,2.988888888888889,116.58333333333333
2019-10-05,0.615,4.062500000000001,12.10416666666667,16.070833333333333,39.333333333333336,38.666666666666664,18.333333333333332,713.7000000000002,0.0,54.625,2.5476190476190474,0.21145833333333333,26.226249999999997,2.423809523809524,150.95833333333334
2019-10-06,0.6141666666666667,3.1791666666666667,11.341666666666667,14.466666666666661,39.625,38.708333333333336,13.0,713.5083333333333,0.0,53.0,2.7304347826086963,0.21662499999999998,26.874583333333334,2.6045454545454545,145.54166666666666
2019-10-07,0.6916666666666668,7.920833333333337,16.408333333333328,24.24166666666667,25.125,39.166666666666664,13.904761904761905,714.2583333333336,0.0008333333333333334,56.416666666666664,2.8166666666666664,0.19145833333333329,25.750833333333333,3.5833333333333335,117.79166666666667
2019-10-08,0.6866666666666666,6.879166666666666,15.208333333333336,21.99166666666667,32.291666666666664,38.375,10.304347826086957,714.0624999999999,0.0,56.833333333333336,2.6,0.14049999999999999,24.671666666666667,4.933333333333334,87.79166666666667
2019-10-09,0.7625000000000001,6.816666666666667,16.083333333333332,22.791666666666668,37.791666666666664,41.5,18.88235294117647,712.7916666666666,0.0,61.458333333333336,2.478947368421053,0.20458333333333337,25.615,2.975,134.54166666666666
