,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-04-02,1.9529166666666662,6.495833333333333,18.825000000000006,25.320833333333336,29.041666666666668,130.91666666666666,42.166666666666664,717.4875000000001,,73.33333333333333,3.2333333333333325,0.39915384615384614,24.883750000000003,8.041666666666666,156.75
2015-04-03,1.8437499999999993,5.062500000000001,11.679166666666665,16.741666666666664,26.0,88.875,40.875,718.1249999999999,0.01,78.375,2.491304347826087,0.3648333333333333,25.04458333333334,5.958333333333333,75.08333333333333
2015-04-04,1.8129166666666672,5.366666666666666,12.283333333333331,17.65,18.208333333333332,46.0,19.31578947368421,723.0333333333333,0.040588235294117654,93.875,2.336363636363637,0.06316666666666668,17.250416666666663,8.841666666666667,190.75
2015-04-05,1.8762500000000004,6.566666666666666,12.945833333333333,19.5125,20.833333333333332,45.833333333333336,25.0625,718.7791666666667,0.015000000000000001,85.83333333333333,2.783333333333333,0.27599999999999997,19.335416666666667,7.0249999999999995,131.75
2015-04-06,2.025000000000001,11.97916666666667,16.49166666666667,28.47083333333333,13.541666666666666,101.66666666666667,29.041666666666668,717.4875000000001,0.04,87.875,2.541666666666666,0.15428571428571428,21.901666666666667,5.120833333333334,99.16666666666667
2015-04-07,2.0012499999999998,8.420833333333334,17.520833333333332,25.941666666666666,18.458333333333332,111.91666666666667,35.583333333333336,718.3458333333333,,84.25,2.3636363636363638,0.1937142857142857,22.489583333333332,5.591666666666666,84.91666666666667
2015-04-08,2.0745833333333334,10.937500000000002,19.7375,30.674999999999997,13.041666666666666,113.95833333333333,40.72727272727273,717.1,0.02,85.66666666666667,2.4375000000000004,0.11666666666666667,22.110833333333332,4.825,70.91666666666667
2015-04-09,2.237916666666667,16.504166666666666,23.254166666666674,39.75833333333333,27.708333333333332,106.54166666666667,42.166666666666664,716.1458333333335,0.03,73.45833333333333,2.360869565217391,0.3374,26.04291666666667,5.816666666666666,159.125
2015-04-10,2.013333333333333,7.754166666666666,16.245833333333334,24.0,23.458333333333332,73.41666666666667,23.57894736842105,719.4375,0.475,74.29166666666667,2.3347826086956522,0.26839999999999997,24.41625,7.699999999999999,167.20833333333334
2015-04-11,2.0862499999999997,7.287499999999998,16.087500000000002,23.375,17.75,69.70833333333333,27.863636363636363,718.8750000000001,0.425,87.83333333333333,2.305263157894737,0.19989473684210526,22.050416666666667,5.7749999999999995,116.91304347826087
