,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2018-06-04,0.7945833280682564,,,,,71.20833333333333,,700.1833419799805,0.0,44.125,,0.2768333351268666,30.715416590372723,12.566666603088379,79.95833333333333
2018-06-05,0.8762499963243803,,,,,82.625,,697.6166737874349,0.0,40.375,,0.28583333297865465,31.795833667119343,10.045833249886831,77.83333333333333
2018-06-06,0.8324999958276749,,,,,81.75,,697.1416727701823,0.0,38.666666666666664,,0.286416666887817,31.882916847864788,10.412500043710073,70.875
2018-06-07,0.7708333358168602,,,,,96.625,,698.8416697184244,0.0,73.11111111111111,,0.27499999695282895,25.342000007629395,13.58333327372869,60.333333333333336
2018-06-08,0.7299999967217445,,,,,171.25,,700.6458384195963,0.0,,,0.24508333531654594,,16.941666563351948,59.291666666666664
2018-06-09,0.739166667064031,,,,,71.375,,700.533332824707,0.0,,,0.25479166783043183,,14.599999984105429,65.95833333333333
2018-06-10,0.7775000035762787,,,,,69.79166666666667,,698.1791661580404,0.0,,,0.25608333346705575,,12.383333384990692,64.29166666666667
2018-06-11,0.8504166702429453,,,,,89.25,,696.9458287556967,0.0,,,0.16670833135625193,,10.908333321412405,59.0
2018-06-12,0.7824999963243803,,,,,90.91666666666667,,698.2791697184244,0.0,,,0.24562500035972334,,13.466666658719381,72.25
2018-06-13,0.7429166634877523,,,,,72.54166666666667,,700.0250040690104,0.0,,,0.2214166712850177,,15.637500047683716,60.958333333333336
2018-06-14,0.7441666672627131,,,,,70.33333333333333,,699.8791707356771,0.0,,,0.23783333508860474,,15.275000075499216,69.125
2018-06-15,0.7375000069538752,,,,,50.791666666666664,,698.2874959309896,0.0,,,0.2312500010933339,,15.87499992052714,61.208333333333336
2018-06-16,0.7795833324392637,,,,,41.75,,697.1833368937174,0.0,,,0.22025000009549936,,15.679166634877523,62.0
2018-06-17,0.7887499903639158,,,,,46.458333333333336,,697.9458287556967,0.0,,,0.22479166273842566,,13.233333230018616,60.666666666666664
2018-06-18,0.8620833282669386,,,,,64.95833333333333,,698.341677347819,0.0,,,0.16479166539405318,,9.120833307504654,143.41666666666666
2018-06-19,0.8812500014901161,,,,,67.79166666666667,,697.2624994913737,0.0,,,0.2643333333495927,,9.149999986092249,145.33333333333334
2018-06-20,0.9133333340287209,,,,,70.9090909090909,,696.3999964396158,0.0,,,0.23716666627054414,,9.891666690508524,110.58333333333333
2018-06-21,0.9154166653752327,,,,,29.782608695652176,,698.1833343505859,0.0,,,0.03608333355320307,,6.637499988079071,173.625
2018-06-22,0.8729166686534882,,,,,43.13636363636363,,699.4041697184244,0.0,,,0.1545833322161343,,6.699999938408534,71.125
2018-06-23,0.9654166648785273,,,,,84.75,,696.9958368937174,0.0,,,0.2770833328346877,,8.962499936421713,118.79166666666667
2018-06-24,0.7595833341280619,,,,,55.291666666666664,,697.1416702270508,0.0,,,0.28066666912733734,,13.549999922513962,73.5
2018-06-25,0.7337500005960464,,,,,37.416666666666664,,699.1083348592123,0.0,,,0.23729166694586942,,13.399999896685282,67.66666666666667
2018-06-26,0.7508333350221316,,,,,41.541666666666664,,700.6708374023438,0.0,,,0.178791667004892,,11.112500071525574,63.208333333333336
2018-06-27,0.7724999984105428,,,,,48.583333333333336,,700.1499964396158,0.0,,,0.2577499977342086,,12.162500023841858,73.375
2018-06-28,0.7433333347241083,,,,,56.375,,699.5791651407877,0.0,,,0.2724166663586705,,12.745833396911621,55.625
2018-06-29,0.8029166683554649,,,,,76.125,,699.0041681925455,0.0,,,0.26466666664055083,,10.837500045696894,66.91666666666667
2018-06-30,0.8441666687528292,,,,,102.04166666666667,,698.6999994913737,0.0,,,0.27079166617962375,,10.337499966224035,81.95833333333333
2018-07-01,0.864347825879636,,,,,103.91304347826087,,699.2217354152514,0.0,,,0.2357916670104411,,10.430434942245483,110.6086956521739
2018-07-02,0.7908333341280619,,,,,113.125,,699.6833318074545,0.0,,,0.2695416661396545,,12.54583344856898,58.5
2018-07-03,0.7687499970197678,,,,,102.58333333333333,,699.7541631062826,0.0,,,0.25425000038133777,,11.3583332101504,62.666666666666664
2018-07-04,0.7700000057617823,,,,,97.20833333333333,,700.2625071207682,0.0,,,0.27037500105022144,,11.945833375056585,66.16666666666667
2018-07-05,0.783750000099341,,,,,73.0,,703.1125055948893,0.0,,,0.12774999851050475,,11.283333390951157,105.04166666666667
2018-07-06,0.7908695677052373,,,,,52.375,,704.7652189835259,0.0,,,0.2636666706142326,,9.895833353201548,62.041666666666664
2018-07-07,0.9687500024835268,,,,,55.75,,702.8583297729492,0.0,,,0.13633333414327353,,6.120833347241084,142.91666666666666
2018-07-08,1.0183333332339923,,,,,56.75,,702.216672261556,0.0,,,0.180291668822368,,6.483333349227905,103.625
2018-07-09,0.851250005265077,,,,,71.41666666666667,,702.9416681925455,0.0,,,0.23941666318569332,,12.062499970197678,71.875
2018-07-10,0.8386956556983616,,,,,81.69565217391305,,702.9826129415761,0.0,,,0.2545652142118501,,13.739130465880685,73.56521739130434
2018-07-11,0.8820833265781403,,,,,72.125,,701.5458348592123,0.0,,,0.27666666738999385,,10.51666667064031,86.45833333333333
2018-07-12,0.8829166665673256,,,,,89.16666666666667,,701.2791646321615,0.0,,,0.2740416630016019,,10.841666728258133,72.91666666666667
