,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-04-02,0.525,5.713043478260871,5.978260869565218,11.691304347826089,,145.58333333333334,40.333333333333336,710.8541666666666,,66.04166666666667,4.8374999999999995,0.44123076923076915,25.11666666666667,10.575000000000001,195.33333333333334
2015-04-03,0.4483333333333333,4.174999999999999,3.775,7.95,,107.33333333333333,37.91304347826087,711.5249999999997,,74.54166666666667,4.641666666666667,0.35842857142857154,25.23541666666667,7.624999999999999,182.33333333333334
2015-04-04,0.24500000000000002,6.029166666666668,2.629166666666667,8.658333333333335,,35.5,15.142857142857142,716.1041666666669,0.20499999999999993,89.0,3.725000000000001,0.06538461538461539,17.87333333333333,10.616666666666665,133.75
2015-04-05,0.44625,4.213043478260869,3.8782608695652168,8.091304347826087,,57.0,19.285714285714285,712.0291666666666,0.017499999999999998,81.875,4.383333333333332,0.42607692307692313,19.682499999999994,7.900000000000001,150.66666666666666
2015-04-06,0.62,5.8374999999999995,4.487500000000001,10.325,,112.58333333333333,28.47826086956522,710.8333333333335,,84.0,5.875,0.18050000000000002,22.336249999999996,6.741666666666667,154.54166666666666
2015-04-07,0.59,5.983333333333333,5.066666666666667,11.049999999999999,,119.41666666666667,36.75,711.6291666666666,,79.79166666666667,3.712499999999999,0.2574285714285714,23.00333333333333,6.9125000000000005,164.25
2015-04-08,0.47875,5.300000000000002,5.783333333333332,11.083333333333334,,118.54166666666667,34.458333333333336,710.475,0.02,82.08333333333333,3.5833333333333335,0.16115384615384615,22.245,6.437499999999999,204.625
2015-04-09,0.6245833333333334,6.404166666666668,5.829166666666667,12.233333333333334,,114.0,30.681818181818183,709.5875000000001,0.03666666666666667,70.58333333333333,4.2458333333333345,0.35546666666666665,26.13041666666666,8.245833333333332,183.875
2015-04-10,0.31,4.178260869565218,4.126086956521739,8.304347826086957,,71.95833333333333,22.526315789473685,712.85,0.315,70.54166666666667,3.8416666666666663,0.3417692307692308,24.187083333333334,10.108333333333333,173.66666666666666
2015-04-11,0.5029166666666667,4.153333333333333,4.173333333333333,8.326666666666666,,70.91666666666667,30.869565217391305,712.2208333333333,0.38333333333333336,82.16666666666667,4.758333333333334,0.26023076923076927,22.254166666666663,7.470833333333332,146.5
2015-04-12,0.6062500000000001,,,,,64.125,24.666666666666668,709.9000000000001,0.21200000000000002,82.25,3.691666666666667,0.28030769230769226,22.0575,8.362499999999999,189.75
2015-04-13,0.6629166666666668,,,,,83.375,22.8,711.3208333333333,,74.91666666666667,3.879166666666667,0.34707142857142864,23.27416666666667,6.466666666666668,175.91666666666666
2015-04-14,0.40375000000000005,,,,,69.08333333333333,24.11111111111111,713.4666666666667,0.01,79.25,4.916666666666666,0.13915384615384616,20.721666666666668,7.341666666666666,161.0
2015-04-15,0.50875,,,,,100.45833333333333,26.0,711.9708333333334,,80.95833333333333,5.7375,0.26953846153846156,20.292916666666663,8.054166666666665,147.75
2015-04-16,0.5475,,,,,82.58333333333333,25.19047619047619,709.7541666666666,0.06,77.5,4.745833333333333,0.3859285714285714,22.777500000000003,7.1166666666666645,175.25
2015-04-17,0.8140909090909091,,,,,139.9090909090909,35.8,709.3818181818181,,72.36363636363636,4.257894736842106,0.3731538461538462,24.885454545454547,6.745454545454546,213.5909090909091
2015-04-18,0.3804347826086957,,,,,88.86363636363636,31.7,708.7434782608696,,62.130434782608695,5.104347826086956,0.4383846153846154,26.17739130434782,12.843478260869567,184.69565217391303
2015-04-19,0.4316666666666667,,,,,72.70833333333333,21.25,708.8208333333332,,69.83333333333333,4.995833333333333,0.40842857142857153,24.57541666666667,8.745833333333334,176.70833333333334
2015-04-20,0.3625000000000001,,,,,56.666666666666664,14.5,711.3708333333334,0.01,81.375,4.095652173913043,0.0702857142857143,19.7025,8.704166666666666,146.70833333333334
2015-04-21,0.6370833333333333,,,,,81.83333333333333,26.583333333333332,711.25,,84.25,4.624999999999998,0.17449999999999996,19.185416666666665,8.1125,120.45833333333333
2015-04-22,0.7279166666666664,,,,,97.33333333333333,35.0,709.6208333333334,0.01,81.79166666666667,4.3625,0.33614285714285713,23.75375,6.133333333333333,179.16666666666666
2015-04-23,0.5708333333333334,,,,,115.16666666666667,30.454545454545453,709.7833333333334,,78.33333333333333,3.8083333333333336,0.29605882352941176,25.7775,9.845833333333333,166.91666666666666
2015-04-24,0.8545833333333334,,,,,116.20833333333333,40.95652173913044,708.2624999999999,0.01,76.95833333333333,4.158333333333333,0.3546428571428572,26.14,6.95,184.91666666666666
2015-04-25,0.5570833333333333,,,,,114.95833333333333,37.05263157894737,707.75,,64.16666666666667,3.8708333333333336,0.41814285714285715,27.680000000000003,12.716666666666669,184.5
2015-04-26,0.49291666666666667,,,,,93.29166666666667,25.958333333333332,704.9333333333334,,54.375,3.8124999999999996,0.4335714285714286,29.08333333333334,9.125000000000002,156.70833333333334
2015-04-27,0.29875000000000007,,,,,86.29166666666667,15.318181818181818,706.1416666666668,,39.583333333333336,4.291666666666666,0.43557142857142855,25.63666666666667,11.129166666666665,125.58333333333333
2015-04-28,0.2275,,,,,79.79166666666667,11.590909090909092,712.7875,,44.458333333333336,3.7750000000000004,0.47328571428571425,20.56208333333333,14.333333333333334,118.25
2015-04-29,0.25,,,,,52.666666666666664,11.523809523809524,714.9291666666667,,46.666666666666664,4.258333333333334,0.47978571428571426,18.657499999999995,10.654166666666667,165.66666666666666
2015-04-30,0.4345833333333333,,,,,79.125,19.708333333333332,713.3166666666666,,52.375,6.066666666666666,0.42486666666666667,19.884999999999998,8.287499999999998,164.08333333333334
2015-05-01,0.3947826086956522,,,,,89.56521739130434,23.434782608695652,713.5478260869564,,56.69565217391305,7.860869565217392,0.48542857142857143,22.14304347826087,10.121739130434781,170.04347826086956
2015-05-02,0.29958333333333337,3.9105263157894736,4.031578947368421,7.942105263157895,,68.79166666666667,22.458333333333332,713.2708333333334,,74.16666666666667,4.587500000000001,0.2505333333333334,21.07,10.2875,157.75
