,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2019-06-29,,,,,32.642857142857146,40.0,14.63,727.5357142857143,0.0,43.13333333333333,3.3249999999999997,0.29713333333333325,30.126666666666665,19.09333333333333,
2019-06-30,,,,,32.208333333333336,44.291666666666664,,726.3458333333334,0.0,53.041666666666664,3.773913043478261,0.19783333333333333,28.525000000000006,14.450000000000001,
2019-07-01,0.7239130434782609,,,,32.0,47.391304347826086,,725.6304347826087,0.0,59.34782608695652,3.5863636363636364,0.2013043478260869,27.83086956521739,16.608695652173914,
2019-07-02,0.7883333333333334,,,,35.625,34.0,18.727777777777778,724.5833333333334,0.0,61.416666666666664,3.561111111111112,0.13070833333333334,28.047500000000003,12.004166666666665,
2019-07-03,0.8199999999999998,,,,37.0,44.75,17.352608695652176,723.6749999999998,0.0,61.416666666666664,3.6277777777777778,0.15079166666666666,29.04208333333334,14.1875,
2019-07-04,0.9020833333333332,,,,39.208333333333336,56.125,22.54875,724.1875,0.004166666666666667,62.458333333333336,3.4125,0.12533333333333335,28.975416666666664,11.054166666666667,
2019-07-05,0.8495833333333334,,,,33.208333333333336,61.416666666666664,21.364166666666666,726.1333333333333,0.0,56.708333333333336,3.6052631578947367,0.17091666666666663,29.701249999999998,15.133333333333333,
2019-07-06,0.8174999999999998,,,,21.875,36.625,12.272083333333333,727.2374999999998,0.0,57.208333333333336,3.6045454545454545,0.2112083333333333,29.540000000000006,18.841666666666665,
2019-07-07,0.8308333333333335,,,,22.791666666666668,29.875,10.995833333333332,726.5124999999999,0.0,58.708333333333336,3.4894736842105267,0.19670833333333326,29.813749999999995,17.945833333333333,
2019-07-08,0.9183333333333334,,,,32.125,45.791666666666664,14.63916666666667,724.9625,0.0,55.0,3.849999999999999,0.18158333333333332,31.09958333333333,13.745833333333332,
2019-07-09,0.9691666666666666,,,,37.291666666666664,56.375,18.825416666666666,724.8958333333334,0.0,48.708333333333336,4.6625000000000005,0.2154166666666666,31.75750000000001,13.924999999999999,
2019-07-10,0.9716666666666667,,,,31.291666666666668,54.291666666666664,18.912916666666668,725.4083333333334,0.0,55.666666666666664,3.831578947368421,0.17329166666666662,31.07375,13.958333333333334,
2019-07-11,0.9816666666666666,,,,26.041666666666668,48.041666666666664,13.681249999999999,725.4875000000001,0.0033333333333333335,60.916666666666664,3.704347826086956,0.15916666666666665,28.926666666666662,12.85416666666667,
2019-07-12,0.95375,,,,40.208333333333336,27.875,9.49304347826087,724.4625000000001,0.0275,59.125,3.8363636363636364,0.183625,28.1575,15.2875,
2019-07-13,1.0400000000000003,,,,44.0,36.375,13.792499999999999,723.6041666666669,0.0,52.875,4.089473684210526,0.17983333333333326,29.867083333333326,12.158333333333331,
2019-07-14,1.00875,,,,47.208333333333336,43.416666666666664,15.97416666666667,724.3166666666666,0.0,48.375,4.340909090909091,0.19191666666666662,31.120833333333334,12.683333333333332,
2019-07-15,1.0462500000000003,,,,32.166666666666664,40.083333333333336,16.104166666666668,724.4124999999999,0.0,54.791666666666664,3.8333333333333335,0.19829166666666662,30.740416666666665,12.679166666666667,
2019-07-16,0.9525000000000002,,,,27.583333333333332,36.708333333333336,14.017916666666666,724.9916666666667,0.0,56.708333333333336,3.7666666666666666,0.19283333333333327,30.12333333333333,16.758333333333333,
2019-07-17,0.8416666666666669,,,,28.5,28.041666666666668,11.516666666666666,725.4375,0.0,55.583333333333336,3.5714285714285716,0.18870833333333328,29.952083333333338,18.291666666666668,
2019-07-18,0.48869565217391303,,,,32.391304347826086,46.56521739130435,14.831739130434785,725.0434782608694,0.0,51.91304347826087,3.804347826086958,0.2008333333333333,30.156521739130437,17.365217391304352,
2019-07-19,0.49125,,,,29.208333333333332,47.0,14.1325,724.5916666666667,0.0,51.958333333333336,3.8523809523809525,0.20162499999999992,30.137916666666673,16.61666666666667,
2019-07-20,0.4929166666666666,,,,32.041666666666664,46.208333333333336,17.150833333333335,724.3708333333334,0.0,52.083333333333336,3.9391304347826095,0.20770833333333327,30.00583333333333,15.879166666666668,
2019-07-21,0.48124999999999996,,,,34.25,49.291666666666664,17.62,723.9083333333333,0.0,49.458333333333336,4.639130434782609,0.20908333333333332,30.323333333333338,14.712499999999999,
2019-07-22,0.4908333333333334,,,,29.5,33.75,12.671666666666667,725.3125,0.0,56.541666666666664,3.9478260869565216,0.1827916666666666,29.30208333333333,16.116666666666667,
2019-07-23,0.585,,,,25.458333333333332,38.291666666666664,11.070833333333335,727.5541666666668,0.00375,63.958333333333336,3.952631578947367,0.1790833333333333,27.35166666666667,11.829166666666667,
2019-07-24,0.6191666666666666,,,,25.0,22.083333333333332,8.750833333333333,728.3625000000001,0.04666666666666666,71.83333333333333,3.657894736842106,0.10375000000000001,25.11583333333333,7.275000000000001,
2019-07-25,0.5579166666666668,,,,49.291666666666664,32.208333333333336,13.817083333333336,727.9250000000001,0.0,55.208333333333336,3.863636363636364,0.20762499999999992,27.250416666666663,11.654166666666667,
2019-07-26,0.5558333333333333,,,,41.75,25.416666666666668,9.471666666666666,728.2500000000001,0.0,59.25,3.7916666666666665,0.20512499999999997,27.56625,15.229166666666664,
2019-07-27,0.6137500000000001,,,,37.625,25.708333333333332,11.31375,728.1708333333335,0.0,59.666666666666664,3.7222222222222223,0.1801666666666666,28.27791666666667,15.387500000000003,
2019-07-28,0.585,,,,34.541666666666664,45.625,18.132499999999997,726.5208333333335,0.0,57.083333333333336,3.7944444444444443,0.18729166666666663,29.227500000000006,15.329166666666666,
